,sentiment,target,kfold
49, baba efsane yakış kalite yer gül,negative,0
50, asabi ol göz kırp ver,negative,0
51, balkon in yaptigi başyapıt film güzel apayrı 1010,positive,0
52, açık net kötü film ileri nesil zaman gülüyrlarmis direk emin giyim izle sine basitçe ol,negative,0
53, rhopipe£ye cani gönül kat film başla howard bela evlen deyim bit su çöp yiginindan ol film olay,negative,0
54, ufak tefek antik hata dil izle ol sürükleyici film,positive,0
55, senaryo mükemeltaranino fark iste john travoltasamuel jackson ikili uyumlusidetle tavsiye et,positive,0
56, yap is yoksabelki,negative,0
57, kötü film izle zaman kayıp öte film,negative,0
58, kelime mükemmel mükemmel mükemeldefalarca seyret etkileditürk sinema film,positive,0
59, film gerçekten yüzük efendi üçleme,positive,0
60, muhteşem olağanüstü film mutlaka izle süper süper il smith dök,positive,0
61, izlnebilck halk film,positive,0
62, film in,negative,0
63, kurt vadi beğeni izledikama film rezaletyapmacik sahne sik sürükle ol,negative,0
64, söyle vargercekten duygu hitap et insani merhamet hüzün hisset film anla iste yer vur bende söz bahis yetim,positive,0
65, sor izle etkile film ol söyleyecegimtom hane performans müthiş,positive,0
66, john bitir uras ver hadi hayri film ver para aciz kötü sakin git birey cani sev kal,negative,0
67, dünya izle güzel film film izledim5kez ev ce al ev izle hala çık basın kalk iz film agladimözgürlügü film anla braveheart,positive,0
68, zamaninizada yazık para sakin izle film çek güzel ol,negative,0
69, fantastik film izle iste yıldız toz tercih,positive,0
70, film güzel cop yer ol beliydirobert ciro boshayaletler bay gül kahraman kare yap konuş romantik,positive,0
71, film kefe koy zor muhteşem ol SMILEYPOSITIVE sev muhakkak izle,positive,0
72, su ana gel geçmiş film insan gün türk film yap,positive,0
73, sakin sakin vakit kayıp,negative,0
74, seri kötü film,negative,0
75, fazla ver keyif izle hafif film ol tane güzel espri dil fazlasıyla basit devam et sıra bit tip film sev zaman kayıp oluçagini san,positive,0
76, oscar ali anla izle kaybet bencehele yar sik son hareket güzel kurtar,negative,0
77, güzel filmdisonu etkileyiciydiherkese tavsiye ederimeger hollywood un dert düş film sikildiysaniz,positive,0
78, film mükemmel ol vallahi yer gel tüy diken diken ol kesinlikle kesinlikle izle tavsiye et,positive,0
79, sinema film tanismistimbelki bebek firar ol SMILEYPOSITIVE film begenmistimartik çocuk hala SMILEYPOSITIVE hersek ver müzik dram komedi falan hepsiaslan kral efsane,positive,0
80, kent karantina film diyalog muhteşem ol iç gerçek diyalog,positive,0
81, konu saptirilmis kafa senaryo yazmislarbence senaryo anlat saçma,negative,0
82, yıl hayrani ol çocukluk büyük çizgi film hakaret ol düsünüyorum250 bölüm çizgi film sahte sigdirmislarçok ol isim harika,negative,0
83, replik kurgu iste kült filmsideti karantina eğlence hal getir yönetmen film bambaşka,positive,0
84, başka film çek film güzel oyun kalite film emek geçen saygı büyük film ol mutlu,positive,0
85, gör kadro tanesitavsiye ederimizledigim güzel film tane,positive,0
86, kelime kötükurbaga prens kötü gel,negative,0
87, bas antep in görüntü yönetmen getir simit vatani ekip pekimadem vali gör alev top yap be film vatan antep fragman izle adam afacan bas bide sinema izle,negative,0
88, saçma dolar hasılat yap bekle herkesvampir film kare,negative,0
89, güzel film olay özet espri bilgi um film persepolistürkiye versiyon çek,positive,0
90, film numara birey yönetmen mel gibson yaptigini bil film direkt mel gibson yaz el ol,positive,0
91, gram kesinlikle kat puan hakket site ol bit anlam saçma sap film acayip yüksek puan al tür gerçek yansı film yer dip sok sinema entelektüel kesim yap,positive,0
92, batı özenti ol göster film benlik yansı gençlik film yap zor,negative,0
93, film izle keyif konu kurgu hikaye zayifdibir fantastik film mükemmel hikaye bekle bütçe film olmaliydigenede sinema izle film vakit cani dik izle,positive,0
94, kelime numara film usta duy beyazperdeye veda et aman yap et seslen arkadaş,positive,0
95, zaman çek gençlik film senaryo fark sik,negative,0
96, artık amerikan propaganda savaş film dik tür film taraf kars taraf insan ol unut film usan artık sim sava gör bul ol el eastwod yapacagini yap müthiş film yap kutla,positive,0
97, ünlü ol oyun ol kişi kadro kat baba sinir asker kötü film çikarmislar4 film çek mi bil çek,negative,0
98, güzel anlam film gerçekten etkile olamiyordostluk vurgu film güzel islenmistekdüzelikten uzak filmbazi insan tür film sik bul film emin keyif alacaklardirhayata mutlak suret izle film,positive,0
99, harika film insan film eleştir anla film son hüsran ol film devam gel devam heyecan bekle,positive,0
100, hak film ol genel tarz film sev is iç ufak tefek komik gir film ol son acil bit,positive,0
101, dilara iz birik insan el demir emek ver herze değer ver adam konu ask gel olay antik zevk ibaret tezat,negative,0
102, kelime berbat filmbikaç bilimkurgu film canavar birleş fil yap çalismislar kötü ol zemin harca,negative,0
103, baz buhran abartı yat stil eser stil kullan film iç etmisasktan side ön plan mekan karar verememisfilm gün geç tip orta çağ kalmaleoya yazık ol,negative,0
104, film sene 209 gir yaz 201 gir hala vizyon gir yaz inanılmaz gerçekten,negative,0
105, james bono seri etki film film basın son hemen çöz,negative,0
106, ol,negative,0
107, film izle hoca vakit geçir birey öğren film kat aksine sinir boz psikoloji altüst et kurgu senaryo bakım zayıf vakit kaybet,negative,0
108, inanılmaz filmkesinlikle izlenmelimustafa hak hersek hayal kirikligina ugratmadigi çakan ırmak tesekürleroyuncular mükemmel son ol film git mendil al unut,positive,0
109, güzel film,positive,0
110, uzun zaman izle büyüle film olmamisti özelik türk film ol gurur duy anlat gerçekten birey fevkalade mükemmel film,positive,0
111, kötü yorum bulun arkadaş katilmiyorumfilm gerçekten dörtlükbazi saçma yaratık ol film izle değer mutlaka git izlemelisinizkonusuda harika film tavsiye et mutlaka izle,positive,0
112, arkadaş giyim gül para ver ol haldepara ver insan kolay gülüyoryarisinda çek başka film girdiksanirim salon tutun film,negative,0
113, anlat iste güzel anlatmisgüzel film ol izledimdahada izle,positive,0
114, hayati izle agladigim filmbravo,positive,0
115, müthiş film harbi müthiş mutlaka izle saçmalık ol yer helikopter düş hava kal yada seviş sahne,positive,0
116, gerçekten gere konu ilginç oyun üstün performans göz dol film sinemasever tavsiye et,positive,0
117, basın son sürekli kahkaha it güzel film ol,positive,0
118, forest anlat dinle izle ol izle,positive,0
119, film bekle romantik kurgu sahip konu sağlam ikicilik disko beklenti karşıla film kriz adam tavsiye et oda komik ol,negative,0
120, kredi başka söz herhalde,positive,0
121, seyret film kal el film seyret sinema git,negative,0
122, film,negative,0
123, hayal lirik tavsiye reside ev tekrar tekrar izle,negative,0
124, muamele yakin film bas son keyif izle film takipçilik uyanık ol kesin ol su dil film,positive,0
125, bil konu ol kaç sahne hakikaten gül göz yas getirdiözelikle lama tükür lan bagirmasi hedef izle arkadaslarimbir kaybet vala keyif film,positive,0
126, hayat izle film cesaret bedel,positive,0
127, film izle oyun dil sıra gel aksam televizyon ver izle kanal kanat sürükleyici gel vala,negative,0
128, film başla akil hastane yap abuk cinayet düşün kars acayip aile çek manyak karakter manyak yap kan heyet götür değişik etkile film,positive,0
129, ev kaç aktör aktris görünürde laf ol hazirlanmis senaryo fil oyun silik karakter izle geç is rant amaç yapım,negative,0
130, öl güzel ağla hal ol,negative,0
131, yazık zaman beğen begenemiycem inan zaman içerik argo içer gül konu manisa hitap et film yap umut türkiye durum kurtar ol genç,negative,0
132, film son zor getir ara sinema çık düsündümfilm kar adam yeti ol bölüm komik saçma hal geliyorfilmde sürü taktik alem anne yol fazla genç imparator son sahne insan döv mağlup ol saçma,negative,0
133, fil poster ak zarar slogan not ver sinema ad insan birdal film çevir umut et yazık gerçekten,negative,0
134, film kötü bol bol recep ivedi izle,positive,0
135, gerçekten zekice hazirlanmis film özelik son harika sinema izle dayan ay ce al,positive,0
136, ol paha malzeme yapilmis kötü yemek,negative,0
137, usta oyun ara gör film konu oku al ilişki amir insani derinden etkile yan gül eğlen film kesinlikle seyret film,positive,0
138, sahne örneğin gir saldırı sahne film oku kitap berbat beklenti git film hayal kirikligina uğra,negative,0
139, film basari arkadaş özelik robert michel piş in performans izle fazlasıyla değer kaçır,positive,0
140, azami basindatekrar seyret tekrar alarm,positive,0
141, sakin izle söyle vakit kayıp,negative,0
142, özelik son müthiş bit film oyun senaryo basari mistik olay gerçek mantık son bitir nadir film gerçekten müthiş,positive,0
143, kötü filmdiçok eksik varil zaman zaman boşluk düsüyorbence ol,negative,0
144, sinir ol fil değ oyun john sus kötü performans ver etkile gerilim aktar oyun berbat maalesef,negative,0
145, kesinlikle güzel filmherkese tavsiye et,positive,0
146, kötü film izle,positive,0
147, versiyon japonca ol çek ayıp abd yönetmen uyanık yap konu değiş ön sun konu güzel film izle dolay ol,negative,0
148, kesinlikle kötü filmbeklentilerimin alt kaldifragmani film güzeldibosa harcadigim vakit ver para aciz,negative,0
149, inan etkile mümkün,positive,0
150, geçmiş mumya film kötü büyük heves giyim maalesef,negative,0
151, film bitim hakket film son berbat bit bel ay film çek düşün,negative,0
152, film güzel beğen içme in oyun dil begenmedimayrica çakan ırmak ad sair başla bit anla adam deli samimi hasta asi çöz kaza yazık ol oda kurtul arkadaş izle,negative,0
153, dün seyret filmiçok kötü benceklasik amerikan kahramanlık filmifilmin son salon gül film dalga geç basladilarklise replik müzik esprilerkötü,negative,0
154, vasat film zaman kayıp git,negative,0
155, basari oy seçim ol filmeglendirici dinlendirici coskulandirici film ol izle yer gel,positive,0
156, eda yer yaren askimfilm söz ibaret film dik sor film dik kesinlikle tavsiye et basit gül birey,negative,0
157, amerikan yalakalık et amerikan hak çikardigini gör kesin izle film belgesel sek çek insani iç sizlatior ol onlarca sinir ol inan izle izle,positive,0
158, air dram izle artık bit oyun izle oyun film kurtaramiyorumbaygin,negative,0
159, zevk renk tartisilmaz saçma yaraticiliktan yoksun film senaryo bulun,negative,0
160, ödül ali film anlayamadimsikintidan patlamistim izle,negative,0
161, fark aksiyon fark bahis açisikonu senaryo kurgu sifirailecek izlenmezbence,negative,0
162, fazla antik ara izle gerilim film,positive,0
163, the shawshank redemption izle film beğen arkadaş iç tarz mesele beğen izle yüzük efendi seri çekici gel saygı,positive,0
164, baba oğul derin kuruculuk siradanligiyla yer sürü puan hak et film,negative,0
165, gör yaraticiliktan uzak kötü senaryo hayal lirik,negative,0
166, insan yasa dönem panik et takim olay bil ay adi ati mil takim dünya kupa final oyna dünya dizi zeka insanoğul karsilasmasi iste film sinemasever olay,positive,0
167, hayat büyük hayal kirikligiama sine seyret degeronun dil sıra film akıl kal sahne,negative,0
168, kadro kötü film çık inan,positive,0
169, vasat öte git insan küfret hakaret et asagilayarak güldürü yaptigini san teknik açı kötü ev zor dayan kötü film seri üçüncü ayal espri orta üye git çocuk yap seviye,negative,0
170, vasat film,negative,0
171, güzel fil tercih et ağustos giyim SMILEYPOSITIVE,positive,0
172, kitabi yoğun karsilastirmadan film ol müthiş ol söyle naftalin portre oyun göz dol soundtracki basari oje kitle dinle öner,positive,0
173, merak bekle film emek kurt adam görü oyun makyaj önem ol,positive,0
174, gore sev kaçır ev kan gövde götür,positive,0
175, dil kötü film amerikan ol beğen üst üst sev amerikan ordu film oscar ver jüri sopa,negative,0
176, mükemeloyunculari yönetmen orta güzel film çikacagi bel gerçekten etkile olacagini düşün tavsiye et mutlaka izle,positive,0
177, film yapilacagini öğren umutlanmistim fragman oyun kadro gör büyük hayal kirikligina uğra,negative,0
178, hayat sik film gör yazık oyun kadro ekonomik kriz vur ol para böle film oyna kabul et,negative,0
179, film sevmedimizlerken uyku gel sürükleyici degildiarada komik ver ol uyku film olacaktikonusunuda beğen,negative,0
180, mükemmel karsiligi ol film,positive,0
181, kelime harika film bitim gözyaslarimi tut izle,positive,0
182, film anlat kelime yet anlam romantik eğlence huzur kısacası süper film kesinlikle izle,positive,0
183, anla bul film can sik film son güzel zekice sırf son sat sıkıl izle değer film bas son ekici ol,negative,0
184, izle arşiv kat film kelime harika,positive,0
185, dün aksam film gitimfilm ara çikacaktimtamamen zaman kayıp başka birey degilamerikan milliyetçilik öv sıra filmigörsel efekt dil izle birey,negative,0
186, zor fil güzel derimod seç film gerçekten güzel sinemasever izle film,positive,0
187, su an ara bul dikkat bak çöz kan iste christopher ol zeki ürün,positive,0
188, gerçekten güzel izle değer,positive,0
189, film korku vampir film bade falan iyidirkonusu bambaşka birey kesinlikle izle,positive,0
190, gerçekten konu ilginç güzel oyun jason stat oyna film jason stathamin kapatma tasiyicidan film devam,positive,0
191, hopkins oyun güzel film kötü bomboş film rahip rol kişi rol tasiyamiyor hersek film ol bitim gelmisfilmin son görsel yoklama harca,negative,0
192, harika aksiyon film baba,positive,0
193, başyapıt film film kesinlikle başyapıt tom hans be abi inanılmaz güzel film yakin film izle film bambaşka run forest run,positive,0
194, film oyna jet başka süper film izle sadet tavsiye et,positive,0
195, harika film tom cruise bad harika ikili ol,positive,0
196, özel isim ali ali yaz mi,negative,0
197, islamiyet doku son derece gerçek şekil anlat çevril dönem standart üzer başyapıt moustapha akad usta oyun anthony muine son teşekkür film sinemasever müslüman armağan etik,positive,0
198, ilgi çekici vasat film encam sine vakit izle,negative,0
199, müzik konu diyalog serseri süper film akıl kaç taklit marcus ense yara bent anlam çanta iç ver,positive,0
200, kelime rezaletyarisinda birik,negative,0
201, film hayat ayrı yer defalarca izle defalarca izlerimbenim doruk noktasidirsimdiye film yapilmamisti yapilamiyacaktirda,positive,0
202, sakin git arkadaş gerçekten hayat izle kötü film bas son sik,negative,0
203, harika film mutlaka git,positive,0
204, kesinlikle tavsiye etmiyorumtek ilgi çek seyirci ön çikmasi1 film güzel vasat ol,negative,0
205, film geçen gün sinema izle arkadaş beğen beyaz melek film güzel artık mahsun kirmizigül film izle,negative,0
206, hela ol gerçekten harika film son dönem seyret film ol sahip ara film kadro aç top harika is çikartmis tebrik,positive,0
207, kitabi gerçekten müthiş sayfa gün oku bitir film um et küsur sayfa film sigdirmislargenede fena et izle,negative,0
208, süper süper süper muhteşem aksiyon harika son,positive,0
209, ara yas grup göz aydın yar davul efsane al yeni yet oyun çek gençlik hayran kal dip düğün komedi resmen,negative,0
210, defalarca seyret doy film mutlaka seyret,negative,0
211, film gerçekten kötü transformers iran an film anlam film akıl kal sahne eylem ikili oda saçmala nanobotlar taraf giy dik ver oda emek saygı,negative,0
212, mezopotamya güzelim vatani kaç tane isim sinir iç sinir ol film konu yen hasan olmazmiyiz ayni ajitasyon birey sanat film ol afis bak sebep bul,negative,0
213, denizel asit ol zar zor izle son gör kötü denizel film tony scott tekrar film olay abart artık yönetmen terzi değiş,negative,0
214, saçma sap film vakit kayıp başka birey,negative,0
215, film basyapitir merkez itiraz et sinema dergi çikartigi yıl özel saye prestij film kabin ol baki tekrar söyle film basyapitir,positive,0
216, kötü devam film,negative,0
217, evet gerçekten cd resmen porno film senaryo harika kız süper izle değer,positive,0
218, gerçekten kalp dinle iç simsiyah sevgi dolu film evet masalsı tat güzel tebessüm iç sevgi bitir film mutlaka izle film,positive,0
219, superstarin buluş başka vampir film herhalde sırf cloudia izle,positive,0
220, sat dakika uzun film film ölümcül silinti,negative,0
221, klasik türk film aski anlat calismislar orta ask bas son sev insan oyun olacagini anla film bit yapım hoşnut kal hasan ol nebze etkile film bas son hikaye,negative,0
222, film izle kiyaslayamayacagim film resmen sönük olay eski film benze trajik ask hikaye anla,negative,0
223, kot bul acikcasi uzer,negative,0
224, konu ilgi çekici süper film,positive,0
225, gerçekten mükemmel öte film film mel gibson doruk nokta fazla hak et film hikaye yasa ol bilim ali karakter muhteşem karakter mel gibson taraf kusur oyna film liste yukarı çikarmis,positive,0
226, izle fantastik kurgu görsel efekt doz ayarla mutlaka izle,positive,0
227, uyku uyu mi iste iste fırsat joe black yap izle bakcaksiniz uyumusunuzyorumlariniza güven al izle üzer geç yazık ol saime,negative,0
228, kocaman iç çek vay be film mutlaka izle,positive,0
229, film hikaye oscar gerçekten bel politika yıl bahis açı ver düşün ödül film izle fazla kaçirmayacaginiz film oscar al hakem film oscar git bel ol,negative,0
230, film vasati alt durgun geçir buda şahsen iblis bekle izle sinema para ver film ol izle film devam iblis beklicelksin,negative,0
231, rezalet kelime rezaletfilmin son basigerdigi sahne geri kal fiyaskohiç mi sev emek ver,negative,0
232, film vay be etkile ce seyret son seyret,positive,0
233, fragman ol film bölüm al koy ora al san fragman ada koyun,negative,0
234, john osmani kariyer büyük darbe vur film ilkokul çap çocuk öner,negative,0
235, son yular izle kötü film film ver para hala üz ev izle,negative,0
236, konu yön ilginç bul izle yap filmlerdenvasati as saygı,negative,0
237, kötü film senaryo orta oyun sinir amerikan saçmaligi zaman kayıp insan yer heyecan film üzer,negative,0
238, mükemmel,positive,0
239, film araba takip sahne bas sinema yerleş vali an koltuk kilitle aksiyon yüksek film ol gerçekten yer haki ver,positive,0
240, film konu farkliligla ön çek son açık kal devam film düşün izlenim kapildigimi söyle kan side afet ölüm ani gerçek,positive,0
241, al im film kelime muhteşem kesinlikle izle tavsiye et hata emret izle su film,positive,0
242, film beğen beğen beğen sinir orta ol gel,positive,0
243, film sagu sol sansürsüz yaz başrol oyun gala git haber yap ol kalite film para harca nazik sinir beyazperdecom un düşük puan mis film derece,negative,0
244, korku yap komedi yap rezalet film komedi sev git korku uzak yakın alaka,negative,0
245, türk filmiizledigim film ara gir,positive,0
246, antik hata ara git misal antep film ver antik hata izle film abartı öte ol bay süre kot,negative,0
247, van dinsel dinsel dimi,positive,0
248, ucuz basit ölüm devam nitelik seri gerçekten güzel ekran bil hayal kimlik boyut izle sine keyif al orijinal yarat ol,negative,0
249, film afis fikir vur kolay kanitlacümlesine son an uymadinormalde cümle kanıtla lazım gel gel film son hüsran ugradmyine izle değer film git tavsiye et,positive,0
250, harika film bayıl sahne heyecan izle tarz alisilmisin dil izle gerilim sinema fark esinti hisset,positive,0
251, filizle degerkendisiyle konuş karakter alt et harika düsünülmüskevin costner bilim hurt gerçekten büyük oyun sahne hisediyorsunuzseri katil film iç yer almistiriyi seyir,positive,0
252, hayal kirikligina uğra sik güzel cennet senaryo elmalı oyna tavsiye et,negative,0
253, sunu anla türk film git para kazan sektör canlan falan kat film mesela hokkabaz cem yılmaz para kazan banka kötü film cem yılmaz zengin et,negative,0
254, keyif romantik tatil film izle pişman ol,positive,0
255, gerçekten izle ender film izle ayni sene içeri çık illüzyonist sihirbaz film izle film seyret,positive,0
256, aksiyon hal estetik hal film ol nedensebos vakit film olmus10 üzer,negative,0
257, müthiş film hayal geçen film aktar koca şehir basın yasa il ümit rol uy kesinlikle,positive,0
258, film güzel film vasati us cikamamis tavsiye et,negative,0
259, gerçekten harika gerilim ol film klostrofobi öge air bas kate beckinsale leke uyum beğen sure kısa yeterli güzel,positive,0
260, kelime berbat ol özelik sini seyret hayal lirik,negative,0
261, daire dans akıl çek asit ol,positive,0
262, hayat izle zaman agladigim film,positive,0
263, çocuk evlen san,negative,0
264, hayat kötü film izle yawresmen cem yılmaz adi kullan paralizi et,negative,0
265, yorum harika film oyun oyun sene film izle ol,positive,0
266, berbat öte,negative,0
267, izle değer film arkadaş izle kişi beğen kesin izle saten senaryo stephan king,positive,0
268, hayat forest göz bak ol,positive,0
269, izle mükemmel film,positive,0
270, film işit artık film parti yakin hisset iste film samimi yürek dokun ekran dik kalp giriyoreger izle izle,positive,0
271, süper film sıkıl izle oyun,positive,0
272, sıra film eleştiri kat kesinlikle irade film beğen kevin costner oyun film damga vur durum,positive,0
273, film hak yorum yaz tavsiye et atila dorse film hak yorum oku üstat kat hata yaz,negative,0
274, film güzel senaryo zayıf ol efekt izle beğen,positive,0
275, gir insan yap naftalin orman in oynadigi karakter isle film kötü yön anlat telafi iç olay bira ol bit,positive,0
276, kötü korku film izle hayat izle izle kötü korku film oyun rezalet asistan büyük spiker an süper film imza at sam rahmi film nil yer ali üzer ok,negative,0
277, serdarozturk198 arkadaş film beden yada beğen yorum yap millet bura yorum ciddi ali film izliyorhos ciddi alın taraf film komedi artık su ana yap kült vampir film tane,positive,0
278, aile rami mükemmel dil göz ön ser,positive,0
279, geceyarisindan televizyon izle kalite film konu güzel işle ayrı,negative,0
280, film mükemmel amerikan iç orta koy film avrupa beğeni toplam ol film oran gel yorum film beğen kurt vadi sev,positive,0
281, film,positive,0
282, dövüş film gör spor luis kantin seri oyun oyna mesela armegedon yeni çık spor oyun,negative,0
283, forest grup gerçekten etkile senaryo sahiplik film kin ver yıl ödül shawshank redemptiona bırak SMILEYPOSITIVE,positive,0
284, film git sinema karar ver film,positive,0
285, muhteşem filmdialdigi oscar son hak et zaman insan özgür ol öğren iste film seyret,positive,0
286, film fazla beklenti ilginç şekil film sadi son derece kalite film jet ustaligini konuş konu anlat biçim film duygusal kahramanlık kalite film izle değer,positive,0
287, film ön sun film izle kaybet zaman yazık,negative,0
288, kötü kötü oyun film kabul et anla film orta ol bel hayal lirik kesinlikle kötü,negative,0
289, gerçekten sıcak güzel film insani an ol sik izle kesinlikle tavsiye et ara soundtrackini beğen john levent komedya,positive,0
290, kesinlikle kaçirilmamasi film basın geliyoraldigi övgü hakem film,positive,0
291, jet bul çin film tat amerikan film koku jet film yakismis hersek yer müzik kamera açı aston,positive,0
292, kötü film amir dövüş vahşet içer sahne irk ayrimciligi bariz ön çek beğen sinema ver izle,negative,0
293, film izle zevk ali normal izle gerçekten berbat film testere seri adam taki felsefe berbat film öl kesinlikle izle tatil cani üz,negative,0
294, kepaze film inan film izle insan acımasız film yap insanliginizdan utan insan utanç verici film,negative,0
295, uzak dur çikarmislaradam yaratigi yaratık adi duygu yaz senaryo artık,negative,0
296, harbi hayat arka dön izle kaç film ver fil yarı kapamaistim birakyarinisini dadan kapari vala el kamera ol arkadaş beraber çek,negative,0
297, kardeş film konu yaz geliş olay bilgi ver ora seyret gör üz zaman üz sevin zaman sevin hata yap beyazperde yetkili,negative,0
298, giyim film etkile güzel,positive,0
299, gerçekten güzel ol film basın gerçek görüntü ver baslamasida harika tüy diken diken ol harika yapım,positive,0
300, basit gidişat son klasik korku film aynisiyeterince kan gör SMILEYPOSITIVE film izle zaman kayıp başka,negative,0
301, müzik savaş sahne yorum yapilmis süper SMILEYPOSITIVE yukarı çık yap mel SMILEYPOSITIVE fatih,positive,0
302, kelime bas yapıt karantina bahis türk sinema bölgesel yada yerel drama melodram kurtul birazcık karantina kurgu espri sanayi kavra,positive,0
303, kötü film kesinlikle zemin borsa harca çakan ırmak bekle film kelime berbat,negative,0
304, bölüm amir erotik sahne yarı gerçekten tüy ürper sahne besle işkence yap çocuk kus film gerçek kat,positive,0
305, isim ilgi çek ol ask uzak film ol durum yasa insan bul sev film ol aski anlat notebok film alaka kostüm irlanda beğen,negative,0
306, evet komedi ask aksiyon macera film ol SMILEYNEGATIVE,negative,0
307, film mi,negative,0
308, morgan ferman jack nicholas ol ol ol izle bünye yürek götür yer git et katlan mutlu sat geçir saglamis film,positive,0
309, film gerilim korku film yorum fazla side kan dennis tekrar katliam film side si yokfilm açı zayıf sinema televizyon izle sıra basit film yada öl gel,negative,0
310, maria film gel karakter büyü dede karakter ayni merak et,negative,0
311, bolywod film adam hintli vatandaş rol ver ancaortayada enkaz çikmisjaponlar yer hintli ulus ol ateş kraliçe hindistandmiydi yoksaumarim seri oyun adam dergi,negative,0
312, film film izle defalarca boğaz düğümle side dram politika ikiyüzlülük ara güzel anlatilmisti dönem analiz ol benzer rastla sinema tarih gönder yap ol,positive,0
