sentiment,target
bu kadar geri bir film yapilamaz nasil beceriyorlar anlamiyorum tek kelimeyle özenti abidesi amerkan pastasi 5 diyelim.,negative
arkadasimla izledigimde çocukça demisiti.... kim buna çocukça derki??bence muhtesemdi .,negative
gerçekten çok fena bir gerilim filmi. çiglik sesleri hala kulaklarimdan gitmiyor. çogu sahnesinde dayanamadim gözlerimi kulaklarimi kapattim. ama bu filmin basarili oldugunu gösteriyor..,positive
sadece sehir manzaralari güzel.,negative
ilk filmle kiyaslanirsa berbat ötesi. .,negative
eglenmek için suan vizyonda daha iyisi yok,positive
"çok hos çok tatli bir film, özellikle büyükbaba çok iyi. zaten adam en iyi yardimci erkek oyuncu oscarini da almis bu filmde, haketmis bence..",positive
hayatimda izledigim en kötü filmlere aday izlerken sinirden güldüm komedi filmi olarak fena degil .1.,negative
"bu film için bence harika kelimesi bile eksik kaliyo.. izlemeyneler, izlemedikleri her dakika için pisman olacaklarini bilsinler.",positive
ben hayatim boyunca böle kötü bir film izlemedim.bu filme bu kadar ödül veren insanlar bizle alay ediyor galiba.hiçbirsey yok filmde.ya bi enteresan bisey olsun bari.zamanla ve sessizlikle insanlari sikan bunaltan bi film.kesinlikle uzak durun.vaktinize yazik..,negative
bu film çok güzel film bittiginde insanin yüzünde hüzünle tebessüm bir arada oluyor. siddetle tavsiye ederim.,positive
oyunculari sayesinde izlenen vasat bir film. bos vakit filmi.,negative
"vasat bir film , ama mizansenler ilginçti. bizi duygulandirmaya çalismislar ama becerememisler neden bu kadar prim verildigini anlamiyorum açikçasi.",negative
"filmi izledik kardesimle..bu mudur! dedik..ilk film yine iyi..bu film, ilk filmin yanindan bile geçmiyor iyi olarak...sonu ne kadar kötü bitti...koca bir hayalkirikligi!!.",negative
bu film hakkinda olumsuz yorum yapanlara sasiyorum.bir insan ben bu filmden etkilenmedim kötüydü diyebiliyorsa bence duygusuzun tekidir..dünyaya daha böyle bir film daha gelmedi....,positive
daha sig daha basit yapilabilirmiydi bilmiyorum ama daha kötüsü yapilana kadar en kötüsü bu sanirim.,negative
yakinda apoya da film çekilirse hiç sasirmam...,negative
bekledigimi bulamadim birkaçinin oyunculugu iyi ama digerleri için ayni seyi söyleyemecegim.vakti bol arkadaslarima tavsiye ederim.. saygilarimla...,negative
"bu filmi izlemeyen,film izledim demesin ve bu filmi begenmeyen sinemadan anliyorum demesin.herkese saygim sonsuz ama bu filmin nesnelligine dokunulmaz.asla kaçirmamaniz gereken bir bas yapit diyebilirim.oyunculuk,senaryo ve sonuç muhtesem. ii seyirler.",positive
beyaz perde yorumlari kesinlikle güvenilirligini kaybetti. film zengin bi kadroyla sevgililer gününden faydalaniyor. bu sayede fena sayilmiyacak bir gise yapmistir ama sinema adina vasat.  oyunculuklar hatirina..,negative
gerçekten zekice hazirlanmis bir film özellikle sonu harika sinemada izledim dayanamadim 3 4 ay sonra cdsini aldim..,positive
yukaridaki yorumlarin disinda amerikan konsoloslugu ise tam korumali cemil cümle askerler her an bir çatisma çikacak diye bekliyorlar...usta jedi olarak izledigim liam yazik etmis kendisine...filmi yazan türkiye'yi gezmemis...,negative
yine bildik bir hikaye (aklini tarikat isleriyle bozmus bir tipik amerikan kasabasi ve onun sonuncunda yasanan garip ölümler) ile karsi karsiyayiz. bu tarz filmleri çok gördük tek farki kadrosu ve kurgusu. bence bu tarz filmlerden en basarisiz olani..,negative
"cem yilmaz'i ve filmlerini - amerikali aktör kevin costner'a benzetiyorum. piyasada tutunmak, isim yapmak için harcadiklari çabalar ve aldiklari neredeyse ayni.. . hokkabaz için, kesinlikle.... +- 10 üzerinden, -7 veriyorum. beklentilerimin ve umduklarimin çok altindaydi..",negative
ilk kez verdigim paraya acidim!.,negative
bence film çok abartilmis.açikçasi su herseyden son saniyede kurtulma olayini çok kullanmislar.,negative
"tek kelimeyle mükemmel bir film.. o kadar çok gerilim/korku filmi izledim, böylesini hiç görmedim. koltuga yapistim kaldim. sanki filmde sen oynuyormussun gibi. süper. herkese tavsiye ederim....",positive
süper çocuk... 'babam ve oglum' oscar'a gitse kesin kazanirdi.çagan irmak'in hakkini ....... bana islik çal!.,negative
ilginç bir filme benziyor.filmi izlemedim ama oscar a aday olmasi nedeniyle bekledigim filmlerden biri.ve filmin muzikleri eminim muhtesem olacak.cunku bu dalda daha once oscar adayi olmus ve oscar almis gabriel yared yapmis müzikleri.merakla bekliyorum..,positive
çok büyük bi beklentiyle izlememistim ve beklentilerimi tam anlamiyla karsiladi... filmin sonu gayet güzeldi..sondaki -ready? resmen bitirdi beni çok iyi düsünlmüs..gidin görün derim...,positive
filmi izlemistim ve begenmemistim .büyük umutlarla izledim ama berbat.,negative
christopher nolan'in beynini seviyorum sinema ona çok sey borçlu.iyi ki var!bu adam ne yapsa izlenir.nokta,positive
"sinemamizda maalesef 5 üzerinden 5 verilebilecek film sayisi son derece azdir... babam ve oglum bu tür filmlerden, ikinci kez izledikten sonra bunu daha iyi anladim....",positive
"güzel film begendim, eglenceli ayni zamanda duygusal..",positive
tek kelimeyle 10!!!!.,positive
oyunculuk harika.insan duygulari o kadar gerçekçi yansitilmis ki...herkes izlemeli.,positive
bu filme ne dnebilirki.müthis.,positive
bugün gittim filme..ne abi bu ya..yani ilki böleyse dierlerinde akicak kani düsünemiorum..vahset sirf... dier serilerine gidicemi sanmiorum...ama begenenler olabilir tabi..ii seyrler herkese...,negative
bilindik zombi filmleri gibi olmasina ragmen bu filmi digerlerinden ayiran en büyük özellik will smithin oyunculugu ve görsel efekt filmin basarili olmasina yetiyo kesinlikle izlemeye deger....,positive
kimse kusura bakmasin ama kotu bi film.,negative
çoçuklugumdan beri izliyorum çoçuklarim ve onlarin çoçuklarida izleyecek /luk dev bir kilasik.,positive
çok sikiciydi .............,negative
biraz sert olucak ama lütfen hiç kimse kizmasin bu film kadar saçma sapan bir film bu gune hadar ne izledim nede bu kadar sikildim. eger izlememisseniz kesinlikle gitmeyin kaybedeceginiz hiçbir sey yok aksine 2 saatiniz bosuna heba olmaz..,negative
"korku gerilim sinemasinin insanlarin artik yeter dedigi teen slasher,doga üstü güçler,yaratik tarzi filmlerin aksine degisik konusu ve gerçekten izleyeni bayagi bir geren anlayisiyla gerçekten süper bir film.testere ile hostelin konu olarak karsilastirilmamasi lazim;çünki çok farklilar..",positive
"altioklar türkiye'de film çektigi sürece bunlari görecegiz eminim, bir film ancak bu kadar gereksiz olabilir....",negative
nonextence_hptam anlamiyla -korkunçkomik haklarini yemiyim komik gerçekten ama diger hababam-yeni nesil-filmleri gibi çok kilise olmus yine saçma bir komedi ön planda tutulmus oysa tanitimi bambaskaydi neyse meraklisi gidip izlesin benden orta düzey bir 3-4 puan aldi iyi seyirler.,negative
filmin ilk 15 dakikasi . geriye kalani  zaman kaybi....,negative
özellikle nicholson in her zamanki gibi oyunculugu süper... bunun için bile izlenir..,positive
"komik olmayan, nerdeyse zaman kaybi denilebilecek, içindeki oyunculara yazik eden bir film.",negative
arkadaslar eger fragmanlara bakip girerseniz hata yaparsiniz. bizim gibibu filme giderken küçük çocuk alin yaniniza. en azindan o eglenir( tabii anlarsa) film kesinlikle yapilmais en kötü fantastik film. sakin gitmeyin paraniza yazik olur yarida çikarsiniz.......,negative
kitabini da okudum filmide izledim. film ile kitabin ortak noktalari sadece genel ögeler. bunlarin disinda film izlensede izlenmesede olur diye düsünüyorum..,negative
jet li nin en iyi filmi diyebilirim.mükemmel dövüs sahneleri ve iyi bir anlatim.kisacasi izlenesi çok saglam bir film....,positive
gerçegi ne kadar yansitir bilmem ama ben çok begendim filmi... böle filmlere bakinca neden bizimde böyle filmlerimiz yok diorum... tarihimi anlatan bir film olsa bile neden daha çekici daha çarpici yapmiyorlar?.....,positive
"bu film bi zamnlar dünyanin en iyi savas filmi ödülünü alimisti ama bence o kadar güzel deil niye bu filmi bu kadar abrtiyonuz ki bi kere konusu igrenç çöl kaplani , u 571 ,kapidaki düsman ,piyanist gibi filmler bu filmden bence daha iyiler en azindan konulari güzel.",negative
güzel bir film ... hugh jackmnn ve favroim christian bale var daha ne olsun.,positive
gerçektende harika bir film filmin en basindan itibaren bitimine kadar kendinizi gulmekten alamayacaksiniz izlemenizi tavsiye ederim.,positive
mide bulandirici manasiz siddet içeren film.. .,negative
"yorumlar bence çok acimasiz olmus.yorumlari okuduktan sonra ben de bos bir film bekliyordum ama gayet güzeldi bence film.konu çok güzel,testere veya otel gibi seri halinde çekilseymis daha güzel olurdu bence ..",positive
bu kdr kötü bi film yapilabilir bir filmden beklenicek hiç bisey yok tek görsel efekt görmek istiyosaniz gidin bile demicem ki bence öle aman aman bi görsel biside yokdu. ayrica dikkatimi çekti (dikkat spoiler) su basroldeki adam nie hep biseylere binip günü kurtario :d:d,negative
milliyetçi bir film tavsiye etmiyorum....,negative
"yani kötü bir filmdi bence.diyaloglar saçma sapan,efektler kötü,sikici,oyunculuk rezalet...paraniza yazik...",negative
çocukkene sinemaya gitmistim vede iki film arasinda karar kilmaliydim richy rich mi aslan kral mi ben richy rich seçmistim ama aslan krali izledigim zaman keske aslan krali seçseymisim dedim cok güzel bir animasyon walt disney saheseri harika..!.,positive
caspiana asik olacaksiniz...,positive
kesinlikle çok kötü bir film deil 8.5 1 i bile haketmiyor....,negative
"film zaten basinda kendini belli ediyor daha en basindan tüylerim diken diken gözlerim dolu dolu oldu. süper bir filmdi basindan sonuna nerdeyse agladim. aglamaktan basim agridi. herseyiyle süperdi. oyunculuklar, müzik, senaryo, akliniza ne geliyorsa süperdi..",positive
"hiç böyle yorum yazmam ama,haksizlik felanda etmiyorum.filmi söyle özetliym:. adi gibi,gerçekten sifir dedirtiyor............... .  .",negative
"hiç güzel degildi, sikici ve kara komedi beklentilerini hiçbir sekilde karsilamiyor. ben hayalkirikligina ugradim..",negative
hos bir yapi ama halkadan etkilenmis bir film hiç bir orjinelligi yok bence son zamanlarda ki siradan korku filmlerinden biri daha.,negative
film gercek bi olaydan alinmis.sadece dovus filmi degil ayni zamanda felsefesi de olan ve insanlara ders veren bir cok sahnesi var.oyuzden herkesin begenecegini dusunuyorum.,positive
ben film genelini begenmedim arkadaslar sikti beni izlerken.,negative
tamamen gisede rekor kirmayi hedefleyen ve bu amaç dogrultusunda milliyetçilik fikrini kullanmis sanat degeri tasimayan sinema filmi demenin yanlis oldugu 1 koyup 5 kazanma planindan baska bir sey degil..,negative
yagmur adam iki. al sana para için çevrilmis bir filim daha. ben o tuzaklara düsmeyecegim birdaha fragmandan belli filim zaten..gitmeyin sakin sonra üzülürsünüz.,negative
bu film hayatimda izledigim en berbat filmlerin en basinda gelir=d sinema salonundaki bütün herkes filmin ne kadar basarisiz oldugundan bahsedip gülüyordu.. sakin gitmeyin ..benden söylemesi pisman olursunuz...,negative
izlemek için geç kalinmis bir film benim için..bir anda herseyi arkada birakip uzak diyarlara yolculuk etme istegimi fisekleyen ama bunu yapamicagimi anlayip üzüntüden kendimi yemeye baslamama sebep olan bir film ayrica... aslinda bu tür filmler çok fazla yorum gerektirmez... mutluluk=özgürlük. .,positive
kesinlikle izlemeyin zaman kaybi.ne heyecen var ne korku var sadece yatak odasinda uyuyup duruyolar bu kadar sikiciiiiii.,negative
"bu filme laf yoktur... müthis bisey ,cok güzel ....",positive
bu filmi herkeze tavsiye edrim ben çok etkilendim 3 d li olmasi ayri bir heyecan yaratti.,positive
"çok güzel dogal , kaliteli ve gerçekçi bir film iran a ne kadar üzülürsem üzüleyim bu film onlari gerçekten anlamama yardimci oldu.",positive
hiç bi film beni bukadar heyecanlandirmamisti. so n dakikasina kadar meraklandiran düsüncelerinizi yaniltan ender filimlerden. izlemesseniz çok sey kaybedersiniz..,positive
çok muhtesem bir film sonu etkileyici gerçi ben filmin sonunu tahmin ettim ama atma yöntemiyle. 9 verdim.,negative
"bu ne kardesim nasil film bu ne zaman duzgun turk filmi izleyebilcez,,,,.",negative
"keske askerde kalsaydilardida bu filmi çekmeseydiler......hababam sinifi askerde kötüydü ama gelen gideni aratiyor.....habam sinif askerdeye 3 vermeme ragmen,bu filmi izledikten sonra mumla ariyorum hababam sinifi askerdeyi.......",negative
"kötü espirilerle donatilmis,kötü bir sinema salonunda izledigim,aslinda elektirikler kesildigi için yarim yamalak izledigim ve iyi ki hepisini izlemedim dedigim bir film...",negative
"klasik aksiyon filmlerinden biri con air. her sahnede patlama , her sahnede yumruklar , silahlar.... oyuncularin görece basarili ve istekli oldugu söylenebilir. yine de tvde görürseniz izleyin..",negative
kepaze bir film. inanin filmi izlerken bir insan nasil böyle yanli ve acimasiz bir film yapabilir diye insanliginizdan utaniyorsunuz. insanlik için utanç verici bir film... .,negative
berbatti uyarlama degil zaten kitabin yazarida ayni sekilde hic alaksi olmadigini belirtmis hic aksiyon yoktu elestirmenlerden zaten beyeni kazanamamis tabi zevk meselesi izledigim en kötü hp filmiyidi..,negative
ayni konu ayni klise sahneler biraz daha fazla efekt bombardimani sonuç hüsran.,negative
son zamanlarda izledigim en basit ve özensiz filmi vakit kaybi.,negative
bence siradan bir polisiye filmi olacak.,negative
ilkine göre daha anlamli bir film olmus. katilin psikolojisine de deginmeleri çok güzel olmus. ilk film berbatti..,positive
"kötü bir film degil , ama baslamasi biraz uzun sürüyor . çok enteresan sahneler olmasa da aktörler iyi , filmi gördükten hemen sonra unutuyorsunuz.",negative
tek kelimeyle vasat ..,negative
filmi az önce izlemis bulunmaktayim.bence çok vasat bir film.konu itibariyle çok basit kalmis.bir kaç dövüs sahnesi disinda film çok yavandi..,negative
zeka isi...helal olsun....,positive
mükemmell..oyunculari we yönetmeni bu kadar iyiyken ortaya güzel bi film çikacagi belliydi ama gerçekten bu kadar etkileyici olacagini düsünmemistim herkese tawsiye ederim mutlaka izlenmeli....,positive
kitabini okumadigim için karsilastirma yapamayacagim ama ben begendim filmi hayatta hirsin ve ihtirasin nelere mal olabilecegini çok iyi bir sekilde anlatiyor.oyuncu seçimleri çok yerli yerinde olmus her yönüyle izlenmeyi hak eden bir film diye düsünüyorum..,positive
..........:::yorumsuz:::...........,positive
film son derece mükemmel.korku severlere tavsiye ederim iyi seyirler....,positive
"ama ben burdaki küçük kiz alexandriaya bayildim...!!!! filmi anlatmaya gerek yok ztn,ilgiyle izledim",positive
abd nin uyguladigi siddeti tam anlamiyla yansitamayan ancak izlenilmesi gereken bir film.sinemayi sadece aksiyon olarak düsünmeyen ve toplumsal gercekliklerle ilgili herkes izlemeli..,positive
"benim izledigim en kötü filmlerden birisiydi! film izlerken eglenmek ve görsel olarak etkilenmek isterim ama, tutarliligin da olmasi gerekli. filmde iç tutarlilik kesinlikle yoktu, bilimsellikten de tümüye uzak hatta saçma! konu muhtesem ve muhtesem bir film yapilabilirdi, zebil etmisler!.",negative
"oldu olacak oscara da aday gösterelim, ne filmmis be! vay ki vay....",negative
3 ayri kurgu ile sikilmak bir yana niye bitti ki diye soracaginiz muhtesem bir film.mutlaka izleyin..,positive
güzel film tavsiye ederim.uzun bi film olmasina ragmen hiç sikilmadan izledim..,positive
"gereksiz bir cinsellik hakimdi, ve aski gölgede birakti diyecegim ama ortada bir ask göremedim. filmde ne oldugu belirsiz bir dram var. romantizm bu filmin neresinde anlamis degilim..",negative
vaktiniz degerliyse bu filmi izlemeyin derim,negative
bence jet linin en iyi filmi.öbürkülerden en çok sevdigim yani havad uçma felna efektler yok .bunu dövüs sahneleri çok güzel..,positive
harika bir filmm kesinlikle izleyin .,positive
bu film gelmis gecmis en iyi film kimse inkar edemezde....,positive
film her sahnesinde izleyiciyi aglatma amacini gütmekteydi.bu da çagan irmak in bir cinligi iste.oyunculuklar iyiydi.özellikle çetin tekindor ve yetkin dikiciler çok iyiydi..,negative
senaryo çok abartili ve yönetmende uçmus desem yeridir. eminin bu film bu kadar abartili olmadan da çekilebilirdi. eger bilim-kurgu filmlerini seviyorsaniz seyretmeye deger ama sevmeyen biriyseniz veya sevmeyen birisi ile filme gidecekseniz ona bu kötülügü yapmamanizi tavsiye ederim..,negative
çok kötü bi film degil süper bi filmde degil eger korku filmlerinde iyilerden yanaysaniz izleyin derim filmin sonundaki tempolu sahnelerde çabasi .,positive
gerçekten kaliteli ve güzel bir film...,positive
sonu sasirtici olan filmlere bayiliyorum.filmi bu gün izledim ve bence 10 üzerinden 1o luk bir filimdi. çok hareketli degil ama sürükleyici bi filmdi bazen sasiriyorsunuz bazense üzülüyor.,positive
bu tür binlerce film var.hollywoodun bu türde çok büyük senaryo sikintisi var ayni yemekleri pisirip pisirip bize sunuyor.bos zamaninizda bile izlemeyin.her saniyesi her adimi belli kliseler yigini .,negative
çok sikildigim bir filmdi.2.kez izlemeyi düsünmüyorum bile :s.,negative
filmin fantastik bolumunu nerdeyse hic goremiorus resmen cocuk filmi gittigime pisman oldum desem yeridir fantastik / macera die geciyor film ama ne fantastik yonu var nede macera 10 15 sanielik sahneler disinda oralarda cok gülünç olmus dogrusu,negative
gerçekten süper bir film sinemada izlenmesi gereken bir film özellikle kurt adama dönüsme sahneleri olaganüstü güzel çok fazla irkildim filmde aniden sesler görüntüler çikiyor buna dikkat edin 910.,positive
"harika,çok zekice iki is arkadasinin aralarindaki münasebeti konu aliyor biri mutluyken birinin mutlu olmamasinin aci intikami zaten hugh jackman ve cristian bale ve ayrica scarlett johannson filme ayri bi çekicilik katiyo....",positive
filmin senaryosu ve akisi çok güzel.filmin sonu gayet güzel .izlemnizi tercih ederim..,positive
ucuz romani sevmek yada sevmemek iste bütün sorun bu...zevklerin tartisilabilecegi bir film...bu filmi seviyorum.,positive
mükemmel bir animasyon..her yastan kitlenin izleyebilecegi bir yapim..izlemeyen kalmamali...,positive
oyuncular süper ama filmin konusu niye bu kadar kötü çagan irmaktan çok daha iyi bi film beklemistim umarim daha iyi bi film çekersin çok yakin bi zamanda.,negative
"izleyeli çok uzun zaman olmasina ragmen hala en begendigim filmlerden biri.oyunculari olsun, kurgusu olsun tek kelimeyle sahaneydi.hele filmin sonu kesinlikle bomba etkisi yaratiyor.dvdsi kesinlikle alinmali bence!.",positive
belki de zevkle izledigim tek türk filmi diyebilirim. oldukça etkileyici bir film.mutlaka izlenmeli..,positive
"kendi tarzi içinde fena degil, izlenebilir; bos vakit geçirmek için ideal..",positive
"kos forrest kos.... konusu oyunculari anlatmak istedigi hepsi basarili, hanks çok basarili rol çikartmis, filmde haley j. osment de yer almis.. (gerçekten çok sansli bir adam su forrest) :o).",positive
john cusack yapmis yapacagini.her filmi gibi bu filmde de oyunculugun zirvesinde. kurguya ve senaryoya çok iyi oturmus.samuel'in gizemli çikis anlari çok iyi. kitapla ayni çizgide gidiyor film..,positive
sözün bittigi film..,positive
tam benlik görsel amaçli çokgüzel olmus tam anlamiyla sinema. begenceksiniz bence ve mesajda içeriyor.,positive
filme olan ilgimizi oyuncular üzerinden ölçmeye kalksak herhâlde en çok jim carrey için izlemek isteriz.ama carrey için bile izlenmez...o kadar kötü yani..,negative
"klise bir konu olmasina ragmen oyunculuklar filmi o kadar güzel kurtarmiski..vasat üstü bir film, herkesin izlemesini tavsiye ederim...",positive
"bence basit,siradan bir film olmus bosuna vaktinizi kaybetmeyin.",negative
çok para harcamadanda kaliteli film yapilabiliyormus bunu gördüm.... baya gerildim filmde nerdeyse yirtilacaktim =) çok güzel bi filmdi. .,positive
gercektende cok hos ve gusel bir film basit gibi gozukuyor ama inanilmaz etkileyici  kesinlikle izlenmeli....,positive
çok eglenceli bir film; bugün yillar sonra yeniden izledim..hala güzel özellikle arkadaslarinizla bir araya gelip izleyin bence...,positive
berbat degil berbat ötesi.,negative
filmi seyrettim gerçektende ilgiçekici hiç sikilmadan ve farkli bir film oyuncu kalitesi güzel ve ayrica sihirli bir dünyanin gerçekleri ve korkulari.,positive
"kesinlikle yilin en iyi filmlerinden.oyunculuk,senaryo mükemmel..",positive
"swank i sevmesem de, film sahane....",positive
"sinemaya gitmenizi gerektirmeyen,evde izleyebileceginiz ortalama bir dvd, denzelin kalitesine yakismayan ,tony scottin bir film yapalim cebimizede 3-5 bisiler biraksin diyerek yaptigi filmdir...",negative
izledigim en iyi gerilim ve korkulardan biriydi.sürekli diken üstünde tutuyor ve her sahnede sasirtmayi basariyor.bence çooook güzel bir film.gerilim-korku sevenlerin kaçirmamasi gereken bir film.ses efektleride çok güzel olmus bence..,positive
filme ilk girdigim an bu filmden bisiy çikmayicagini düsündüm ve suan kendimden utaniyorum film gayet basarili ve alisilmisin disinda bir konu içeriyor korku dolu anlar yasatirken insanlarin günümüzde yaptigi acimasizliklarinida anlatiyor bu yönden filmi çok basarili buldum ..,positive
"filmi izlemeyi biraz önce bitirdim, dogrusunu söyleyeyim beklentilerimin çok altinda kaldi. siradan bir ailenin macerasi gibi bir imaj uyandirdi bende. görsel efektleri çok güzel ama daha anlamli bir konu islenebilirdi. bence siradanligi asamamis bir fim olmus.",negative
'benim adim robert neville. new york sehrinde hayatta kalan biriyim. sesimi duyan biri varsa herhangi biri. lütfen. yalniz degilsin'. .  nasil bir sey oldugu anlasiliyor zaten kesinlikle mükemmel!!.,positive
"tek kelimeyle anlatmam gerekirse gereksiz bi film...yok ben piskopatm,baylirim kana,vahsete diyen varsa gidebilir tabikiii!..ama gerçekten gereksiz,zaman kaybi falan filan..baska filmler var ya gidin onlaraa.. takva,son umut,vs..köstebege de gitmeyen kalmasin",negative
korkunun k sini bulmak mümkün degil siradan bayat bir film olmus. stephin king diyorlar ama hikaye filmin bir numarasi yok.,negative
"çok duygusaldi,aglamaktan mahvoldum.insanlara sorumluluklarini hatirlatan bir filim.çok tesekkür ediyorum çagan irmak'a..",positive
konusu olan ama hiçbir anlami olmayan bir mesaj vermeyen bir düsünce tasimayan kuru bir film.aksiyon sahneleri birinci sinif olmasina ragmen zayif bir film gerçegi degismiyor .,negative
"su haline bak, bizlere dönmüssün intikam almaya yemin eden ve tüm çeteyi tek basina harcayan babaya serserinin söyledigi söz.. aklima gelmisken, katli otoparktaki otomobil sahnesi de güzeldi...",positive
film konu olarak basit ama elestirisel bir film. rollere gelirseniz necati sasmaz dublajli olarak konusuyormus dizide ve filmdede gerçek sesini kullanmiyor ve kesinlikle bana göre karakter oyuncusu degil rol yaptigi çok belli.,positive
"arkadaslar cem yilmaz severler kizmasin ama, beni güldüren espiri basina puan vericek olursam, 2 puan veriyorum..",negative
ancak bu kadar güzel yansitilir.... . tüm zamanlarin en iyi filmlerinden birisi..,positive
"ilk filmdeki havayi ne ikinci filmde ne bunda yakaliyamadim, tama m efektler filan güzel ama konu çok yavan kalmis bunlarin yaninda, tempo düsük ilk kismi daha çok begendim ikinci kisimda temponun artmasina ragmen..",negative
iki kanser hastasinin herseyi bir kenara birakip kalan kisacik ömürlerine koca bir dünyayi sigdirmak istemeleri çok güzel bir olay. bunun tema olarak islenmesi çok güzel olmus ve filmin bitisi son noktayi koymus filme...,positive
film  konu gercek bir hikayeden oldugu için etkileyici...bu dönem tek mekan tek karakter modasi bu moda içinde öne cikan filmlerden burada hiç degilse manzara olusu iyidi...doga sevenler için bir ilk yari daralan korkusu ve caresizlik gerilim için ikinci bir yari.,negative
"hayal kirikligi yaratan bir film , oyuncular filmin içinde bile degiller . senaryo çok klasik.",negative
"yaaa ben bu film müthisti diyen insanlarin sinemadan hiçbisi anlamadigini düsünüyorumm..türk insanina oldukça uzak bi hikaye,neredeyse tamami yatakta geçen bi ilk yari,sanki röportaj verir gibi konusan bi ada ve en önemlisi kötü yönetmenlik.",negative
dövüs ve aksiyon sinemasinin iki devi karsi karsiya gelirse olusacak tüm heyecan ve harekete hazir olmak lazim filmi izlemeden önyargida bulunanlar hata ederler gercekten beklentileri karsilayan bir film.tebrikler. .,positive
"güzel bir gerilim filmi, türü sevenleri tatmin edecektir..",positive
simdiye dek izledigim en guzel film.,positive
"sinirlarin zorlanigi, duvarlarin yikildigi harika bir film. hele o canli bomba sahnesi neydi be. çok iyi bir film. böyle projelere ihtiyacimiz var...",positive
burdaki arkadaslarla çok sert bir fikir ayriligina düsmüsüm açikçasi.ben filmi begenmedim.bu konu bizim sinemamizda defalarca islendi ve o kadar kabak tadi verdi ki anlatamam.dramdan baska.,negative
o nasi bir kapisma sahnesidir ya 70 li yillardaki cüneyt arkin filmleri gibi hizli çekimli hemde bariz bir sekilde..... . tek cümle ile serinin en kötü filmi.... . .,negative
fiyasko bi film.çok kötü.scary movie ye benzetmeye çalismalar ama olmamis.özellik de bay tumnus un evini gezdirme sahnesi berbatti.,negative
afisine bakip aldananlardanim içerigi ve kurgusu çok basit.cadilar zamani bu filme göre daha iyi.(benden ). saygilarimla....,negative
film olarak objektif bakarsam kesinlikle iyi bi film.fakat konu olarak vahset kan iskence den hoslanan ve bunu izlemekten zevk alanlara kesinlikle tavsie ediorum ama öbür yandan benm gibi sevmeyen ve hoslanmayanlara bosa zaman harcamain diorum.tek beendiim yönü çekimleriydi o kadar...,negative
jet li yine döküyo ortaligi  . film gayet iyi izlenmeli bence.,positive
"gayet saglam temelli,kaybedisler ve bekleyisler üzerine,eglenceli,romantik,yürek burkan bi pasta hikayesi.",negative
çok etkileyici ve duygusal bir fantistik filmdi özellikle soundtracki mükemmel...,positive
film harikaydi bence..yaratiklar çalinti ama idare edecegiz..oyuncu sayisi az oldugundan kisir bi film.. ama izlenmeye deger...,positive
diyecek bisey bulamadigim nadir filmlerden biri oldu bile.belki konusu artik çokça islenen bi konu ama anlatilis ve oyuncularin o elestiriye bile yorum birakmayacak oynayislari bisey diyemiyorum gerçekten izlenmeli....,positive
bence o kadar da iyi bi film degildi.herkes gibi bende iyi olacagini ummustum ama ciktigimda iki saatimi bosa harcadigimi dusundum.baska filmler tercih edin....,negative
